ind,volt_value
0,-0.195279
1,-0.188604
2,-0.181929
3,-0.175254
4,-0.168579
5,-0.161904
6,-0.155229
7,-0.148554
8,-0.141879
9,-0.135204
10,-0.128529
11,-0.121854
12,-0.115179
13,-0.108504
14,-0.101829
15,-0.095154
16,-0.088479
17,-0.081804
18,-0.075129
19,-0.068454
20,-0.061779
21,-0.055104
22,-0.048429
23,-0.041754
24,-0.035079
25,-0.028404
26,-0.021729
27,-0.015054
28,-0.008379
29,-0.001704
30,0.004971
31,0.011646
32,0.018321
33,0.024996
34,0.031671
35,0.038346
36,0.045021
37,0.051696
38,0.058371
39,0.065046
40,0.071721
41,0.078396
42,0.085071
43,0.091746
44,0.098421
45,0.105096
46,0.111771
47,0.118446
48,0.125121
49,0.131796
50,0.138471
51,0.145146
52,0.151821
53,0.158496
54,0.165171
55,0.171846
56,0.178521
57,0.185196
58,0.191871
59,0.198546
60,0.205221
61,0.211896
62,0.218571
63,0.225246
64,0.231921
65,0.238596
66,0.245271
67,0.251946
68,0.258621
69,0.265296
70,0.271971
71,0.278646
72,0.285321
73,0.291996
74,0.298671
75,0.305346
76,0.312021
77,0.318696
78,0.325371
79,0.332046
80,0.338721
81,0.345396
82,0.352071
83,0.358746
84,0.365421
85,0.372096
86,0.378771
87,0.385446
88,0.392121
89,0.398796
90,0.405471
91,0.412146
92,0.418821
93,0.425496
94,0.432171
95,0.438846
96,0.445521
97,0.452196
98,0.458871
99,0.465546
100,0.472221
101,0.478896
102,0.485571
103,0.492246
104,0.498921
105,0.505596
106,0.512271
107,0.518946
108,0.525621
109,0.532296
110,0.538971
111,0.545646
112,0.552321
113,0.558996
114,0.565671
115,0.572346
116,0.579021
117,0.585696
118,0.592371
119,0.599046
120,0.605721
121,0.612396
122,0.619071
123,0.625746
124,0.632421
125,0.639096
126,0.645771
127,0.652446
128,0.658924
129,0.665122
130,0.67132
131,0.677518
132,0.683716
133,0.689914
134,0.696112
135,0.70231
136,0.708508
137,0.714706
138,0.720904
139,0.727102
140,0.7333
141,0.739498
142,0.745696
143,0.751894
144,0.758092
145,0.76429
146,0.770488
147,0.776686
148,0.782884
149,0.789082
150,0.79528
151,0.801478
152,0.807676
153,0.813874
154,0.820072
155,0.82627
156,0.832468
157,0.838666
158,0.844864
159,0.851062
160,0.85726
161,0.863458
162,0.869656
163,0.875854
164,0.882052
165,0.88825
166,0.894448
167,0.900646
168,0.906844
169,0.913042
170,0.91924
171,0.925438
172,0.931636
173,0.937834
174,0.944032
175,0.95023
176,0.956428
177,0.962626
178,0.968824
179,0.975022
180,0.98122
181,0.987418
182,0.993616
183,0.999814
184,1.006012
185,1.01221
186,1.018408
187,1.024606
188,1.030804
189,1.037002
190,1.0432
191,1.049398
192,1.055596
193,1.061794
194,1.067992
195,1.07419
196,1.080388
197,1.086586
198,1.092784
199,1.098982
200,1.10518
201,1.111378
202,1.117576
203,1.123774
204,1.129972
205,1.13617
206,1.142368
207,1.148566
208,1.154764
209,1.160962
210,1.16716
211,1.173358
212,1.179556
213,1.185754
214,1.191952
215,1.19815
216,1.204348
217,1.210546
218,1.216744
219,1.222942
220,1.22914
221,1.235338
222,1.241536
223,1.247734
224,1.253932
225,1.26013
226,1.266328
227,1.272526
228,1.278724
229,1.284922
230,1.29112
231,1.297318
232,1.303516
233,1.309714
234,1.315912
235,1.32211
236,1.328308
237,1.334506
238,1.340704
239,1.346902
240,1.3531
241,1.359298
242,1.365496
243,1.371694
244,1.377892
245,1.38409
246,1.390288
247,1.396486
248,1.402684
249,1.408882
250,1.41508
251,1.421278
252,1.427476
253,1.433674
254,1.439872
255,1.44607
